Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,1690.099976,1709.699951,1665.300049,1674.900024,1653.261841,32519
2020-01-31,1694.000000,1694.000000,1655.000000,1665.400024,1643.884644,30484
2020-02-03,1645.000000,1678.300049,1611.250000,1646.349976,1625.080688,50313
2020-02-04,1520.000000,1522.000000,1425.050049,1447.550049,1428.848999,342618
2020-02-05,1434.099976,1538.800049,1365.000000,1376.500000,1358.716919,614869
2020-02-06,1390.000000,1400.000000,1327.099976,1342.949951,1325.600342,237376
2020-02-07,1351.050049,1378.000000,1342.500000,1356.449951,1338.925903,102180
2020-02-10,1358.000000,1363.599976,1296.150024,1301.400024,1284.587158,106337
2020-02-11,1302.000000,1354.000000,1280.050049,1322.500000,1305.414551,154159
2020-02-12,1333.949951,1333.949951,1297.400024,1306.050049,1289.177124,194152
2020-02-13,1313.000000,1349.949951,1300.000000,1343.900024,1326.538086,167286
2020-02-14,1353.800049,1358.800049,1327.000000,1335.949951,1318.690674,79241
2020-02-17,1334.900024,1334.900024,1305.000000,1317.050049,1300.035034,76166
2020-02-18,1321.099976,1350.000000,1319.000000,1344.900024,1327.525146,105761
2020-02-19,1345.000000,1362.050049,1325.000000,1341.349976,1324.020996,51275
2020-02-20,1341.800049,1358.000000,1336.000000,1344.650024,1327.278442,54312
2020-02-24,1351.000000,1353.000000,1325.000000,1338.650024,1321.355957,29355
2020-02-25,1341.000000,1369.900024,1338.000000,1366.150024,1348.500610,53687
2020-02-26,1364.900024,1395.949951,1340.000000,1355.949951,1338.432373,81279
2020-02-27,1360.000000,1362.000000,1325.000000,1341.150024,1323.823608,31913
2020-02-28,1346.500000,1347.849976,1300.000000,1306.000000,1289.127686,50378
2020-03-02,1310.000000,1337.650024,1300.000000,1303.250000,1286.413208,27735
2020-03-03,1305.099976,1332.699951,1290.000000,1312.750000,1295.790527,39855
2020-03-04,1307.000000,1325.000000,1285.300049,1308.550049,1291.644775,48286
2020-03-05,1324.000000,1329.000000,1306.500000,1314.250000,1297.271118,21513
2020-03-06,1310.199951,1340.000000,1293.300049,1330.949951,1313.755371,34384
2020-03-09,1319.000000,1319.000000,1291.000000,1311.000000,1294.063110,41575
2020-03-11,1317.949951,1327.650024,1292.050049,1297.250000,1280.490723,26647
2020-03-12,1281.000000,1285.000000,1160.000000,1202.250000,1186.718018,90470
2020-03-13,1151.000000,1298.000000,962.650024,1264.849976,1248.509277,61361
2020-03-16,1255.000000,1255.000000,1203.000000,1230.849976,1214.948486,33319
2020-03-17,1240.849976,1258.250000,1206.949951,1246.650024,1230.544434,33608
2020-03-18,1258.699951,1260.000000,1207.900024,1228.500000,1212.628906,31577
2020-03-19,1225.000000,1225.000000,1150.000000,1191.500000,1176.106934,57519
2020-03-20,1202.000000,1275.000000,1176.050049,1224.949951,1209.124756,31931
2020-03-23,1100.000000,1189.949951,1053.800049,1101.849976,1087.615112,42795
2020-03-24,1120.000000,1160.000000,1100.000000,1139.800049,1125.074951,20245
2020-03-25,1149.000000,1205.000000,973.000000,1196.699951,1181.239746,30972
2020-03-26,1198.000000,1240.000000,1175.050049,1199.099976,1183.608765,30310
2020-03-27,1239.000000,1247.300049,1122.050049,1179.550049,1164.311401,37410
2020-03-30,1179.550049,1232.000000,1165.000000,1227.300049,1211.444458,26313
2020-03-31,1245.000000,1288.900024,1221.000000,1257.400024,1241.155640,37373
2020-04-01,1255.000000,1269.349976,1150.000000,1210.250000,1194.614746,54254
2020-04-03,1230.000000,1248.000000,1155.000000,1224.199951,1208.384399,64230
2020-04-07,1260.000000,1265.000000,1175.000000,1248.500000,1232.370483,162388
2020-04-08,1265.000000,1291.000000,1214.000000,1246.250000,1230.149658,191915
2020-04-09,1270.000000,1415.000000,1264.000000,1396.349976,1378.310425,199985
2020-04-13,1414.000000,1483.300049,1336.050049,1451.300049,1432.550659,144063
2020-04-15,1544.000000,1544.000000,1463.750000,1476.849976,1457.770508,165724
2020-04-16,1481.000000,1494.400024,1452.000000,1474.400024,1455.352173,44295
2020-04-17,1498.000000,1505.000000,1425.000000,1455.300049,1436.498901,51378
2020-04-20,1463.000000,1474.000000,1428.449951,1455.599976,1436.794922,28753
2020-04-21,1428.000000,1484.000000,1416.000000,1459.500000,1440.644653,44520
2020-04-22,1470.000000,1470.000000,1430.000000,1436.250000,1417.694946,20558
2020-04-23,1426.000000,1465.500000,1426.000000,1448.500000,1429.786743,38181
2020-04-24,1445.599976,1472.000000,1440.099976,1455.050049,1436.252197,33465
2020-04-27,1480.000000,1480.000000,1440.000000,1443.550049,1424.900757,33039
2020-04-28,1450.000000,1461.750000,1429.150024,1453.000000,1434.228638,34705
2020-04-29,1460.000000,1460.000000,1432.599976,1440.550049,1421.939453,45650
2020-04-30,1459.900024,1490.000000,1432.500000,1444.250000,1425.591675,170424
2020-05-04,1435.000000,1485.000000,1419.050049,1480.449951,1461.323975,76546
2020-05-05,1500.000000,1522.000000,1442.500000,1448.349976,1429.638672,72692
2020-05-06,1450.000000,1485.000000,1441.000000,1464.449951,1445.530640,33488
2020-05-07,1490.000000,1492.000000,1442.000000,1451.599976,1432.846680,29418
2020-05-08,1454.000000,1468.449951,1431.349976,1437.449951,1418.879395,21312
2020-05-11,1448.550049,1454.000000,1415.099976,1421.199951,1402.839355,27570
2020-05-12,1421.500000,1429.599976,1373.000000,1378.849976,1361.036499,34270
2020-05-13,1394.000000,1412.900024,1385.000000,1400.099976,1382.011963,48678
2020-05-14,1389.949951,1430.000000,1380.099976,1420.199951,1401.852295,26400
2020-05-15,1420.150024,1420.150024,1388.099976,1392.949951,1374.954346,20461
2020-05-18,1399.000000,1418.500000,1355.000000,1363.050049,1345.440674,22649
2020-05-19,1395.000000,1430.000000,1373.099976,1386.000000,1368.094116,48216
2020-05-20,1387.000000,1398.699951,1363.449951,1373.699951,1355.953003,37627
2020-05-21,1375.000000,1386.050049,1365.000000,1369.849976,1352.152832,12717
2020-05-22,1375.000000,1385.050049,1360.000000,1378.500000,1360.691040,15251
2020-05-26,1383.000000,1402.000000,1365.400024,1372.449951,1354.719116,23014
2020-05-27,1385.000000,1385.000000,1352.699951,1356.349976,1338.827148,23755
2020-05-28,1367.000000,1370.000000,1336.000000,1340.699951,1323.379395,73364
2020-05-29,1350.000000,1393.949951,1335.000000,1369.349976,1351.659302,92092
2020-06-01,1390.000000,1396.599976,1366.000000,1372.199951,1354.472412,28582
2020-06-02,1372.300049,1389.000000,1349.199951,1356.000000,1338.481689,42776
2020-06-03,1364.000000,1385.900024,1355.099976,1370.699951,1352.991821,24013
2020-06-04,1383.949951,1390.000000,1361.199951,1372.949951,1355.212769,24515
2020-06-05,1378.000000,1385.050049,1370.000000,1382.300049,1364.442017,23401
2020-06-08,1380.199951,1393.199951,1206.000000,1352.150024,1334.681519,37996
2020-06-09,1354.000000,1372.000000,1352.000000,1355.400024,1337.889526,19187
2020-06-10,1362.000000,1395.000000,1352.900024,1386.849976,1368.933105,36365
2020-06-11,1397.949951,1435.050049,1385.000000,1408.599976,1390.402222,70165
2020-06-12,1391.000000,1409.949951,1377.000000,1394.449951,1376.434937,34995
2020-06-15,1397.000000,1417.250000,1385.000000,1388.400024,1370.463135,22431
2020-06-16,1400.000000,1414.000000,1371.000000,1375.400024,1357.631104,28253
2020-06-17,1384.000000,1405.000000,1369.550049,1390.050049,1372.091919,24090
2020-06-18,1381.000000,1397.349976,1360.099976,1371.599976,1353.880127,25720
2020-06-19,1371.599976,1383.199951,1361.000000,1367.800049,1350.129395,16503
2020-06-22,1415.000000,1443.849976,1371.099976,1437.599976,1419.027466,83557
2020-06-23,1459.000000,1525.000000,1450.050049,1511.000000,1491.479248,156652
2020-06-24,1515.000000,1524.000000,1460.000000,1464.000000,1445.086426,43391
2020-06-25,1459.000000,1522.699951,1445.000000,1500.699951,1481.312256,51147
2020-06-26,1502.500000,1521.000000,1479.000000,1481.099976,1461.965576,28565
2020-06-29,1484.050049,1505.500000,1471.500000,1490.250000,1470.997314,25744
2020-06-30,1500.000000,1508.949951,1475.000000,1481.599976,1462.459106,19325
2020-07-01,1490.000000,1490.000000,1466.000000,1472.349976,1453.328613,15669
2020-07-02,1485.000000,1489.900024,1460.000000,1466.250000,1447.307373,19355
2020-07-03,1479.849976,1486.150024,1460.500000,1466.099976,1447.159302,19597
2020-07-06,1498.000000,1499.000000,1480.000000,1482.800049,1463.643677,23868
2020-07-07,1482.800049,1493.300049,1475.099976,1478.699951,1459.596558,12005
2020-07-08,1480.000000,1495.050049,1458.500000,1462.449951,1443.556519,21658
2020-07-09,1465.250000,1488.000000,1465.250000,1474.400024,1455.352173,16212
2020-07-10,1465.300049,1493.300049,1465.300049,1488.250000,1469.023193,17688
2020-07-13,1492.599976,1515.000000,1489.150024,1504.650024,1485.211304,44848
2020-07-14,1513.400024,1513.400024,1490.250000,1502.750000,1483.335815,22676
2020-07-15,1506.000000,1574.000000,1503.150024,1527.250000,1507.519409,112796
2020-07-16,1535.000000,1557.949951,1516.000000,1548.099976,1528.099976,59057
2020-07-17,1516.199951,1535.000000,1511.000000,1519.199951,1519.199951,28140
2020-07-20,1522.599976,1542.050049,1485.000000,1505.500000,1505.500000,25711
2020-07-21,1514.000000,1524.900024,1475.000000,1481.599976,1481.599976,28742
2020-07-22,1485.000000,1493.949951,1464.000000,1468.550049,1468.550049,16243
2020-07-23,1474.000000,1488.349976,1459.000000,1466.150024,1466.150024,18491
2020-07-24,1466.000000,1496.000000,1461.000000,1476.099976,1476.099976,49623
2020-07-27,1477.050049,1483.000000,1451.000000,1455.750000,1455.750000,23138
2020-07-28,1457.949951,1472.449951,1455.000000,1464.300049,1464.300049,12878
2020-07-29,1476.000000,1497.000000,1467.150024,1480.650024,1480.650024,23789
2020-07-30,1480.650024,1484.949951,1436.550049,1442.449951,1442.449951,54716
2020-07-31,1441.000000,1449.400024,1435.000000,1437.300049,1437.300049,25932
2020-08-03,1441.599976,1509.000000,1423.099976,1477.949951,1477.949951,141024
2020-08-04,1497.000000,1530.000000,1481.650024,1507.449951,1507.449951,136597
2020-08-05,1518.000000,1524.000000,1470.000000,1480.500000,1480.500000,85405
2020-08-06,1482.000000,1515.099976,1475.000000,1478.050049,1478.050049,29096
2020-08-07,1486.000000,1500.000000,1482.650024,1488.699951,1488.699951,120079
2020-08-10,1490.000000,1509.949951,1458.199951,1468.750000,1468.750000,67712
2020-08-11,1470.000000,1499.000000,1469.949951,1473.199951,1473.199951,42982
2020-08-12,1481.900024,1481.900024,1455.550049,1456.500000,1456.500000,58706
2020-08-13,1475.000000,1540.000000,1461.650024,1524.099976,1524.099976,267310
2020-08-14,1535.000000,1548.800049,1505.000000,1518.099976,1518.099976,93586
2020-08-17,1522.050049,1540.000000,1488.349976,1513.099976,1513.099976,35030
2020-08-18,1519.599976,1519.599976,1500.400024,1503.150024,1503.150024,96626
2020-08-19,1515.000000,1527.800049,1490.000000,1514.449951,1514.449951,126900
2020-08-20,1510.000000,1515.449951,1482.650024,1490.050049,1490.050049,99201
2020-08-21,1510.199951,1510.849976,1482.050049,1485.550049,1485.550049,59032
2020-08-24,1500.000000,1529.000000,1491.000000,1522.849976,1522.849976,207662
2020-08-25,1530.000000,1628.949951,1525.000000,1570.650024,1570.650024,408913
2020-08-26,1585.050049,1613.000000,1576.050049,1589.500000,1589.500000,107040
2020-08-27,1600.000000,1629.500000,1581.250000,1598.449951,1598.449951,140193
2020-08-28,1600.000000,1604.000000,1561.000000,1583.150024,1583.150024,83032
2020-08-31,1583.000000,1620.000000,1513.099976,1566.300049,1566.300049,71921
2020-09-01,1566.300049,1593.949951,1540.050049,1569.699951,1569.699951,67293
2020-09-02,1565.650024,1597.800049,1561.050049,1574.599976,1574.599976,85711
2020-09-03,1574.000000,1604.349976,1556.900024,1560.550049,1560.550049,85491
2020-09-04,1554.000000,1599.949951,1545.349976,1574.650024,1574.650024,85092
2020-09-07,1588.250000,1669.949951,1580.550049,1625.949951,1625.949951,272134
2020-09-08,1636.500000,1684.000000,1610.000000,1635.250000,1635.250000,156923
2020-09-09,1617.000000,1660.000000,1617.000000,1639.800049,1639.800049,145126
2020-09-10,1665.000000,1694.849976,1645.050049,1669.449951,1669.449951,134563
2020-09-11,1676.000000,1700.000000,1647.000000,1674.949951,1674.949951,145594
2020-09-14,1675.000000,1767.000000,1675.000000,1728.000000,1728.000000,347354
2020-09-15,1726.000000,1807.500000,1726.000000,1778.599976,1778.599976,300383
2020-09-16,1790.000000,1801.000000,1751.000000,1772.400024,1772.400024,94779
2020-09-17,1770.000000,1800.000000,1750.000000,1763.500000,1763.500000,88815
2020-09-18,1777.000000,1790.000000,1661.000000,1697.900024,1697.900024,859170
2020-09-21,1730.000000,1742.699951,1639.000000,1694.650024,1694.650024,214883
2020-09-22,1680.250000,1699.000000,1592.000000,1606.150024,1606.150024,134117
2020-09-23,1616.650024,1650.000000,1580.000000,1588.099976,1588.099976,64855
2020-09-24,1575.000000,1613.449951,1526.000000,1545.800049,1545.800049,47820
2020-09-25,1550.099976,1573.199951,1540.000000,1543.599976,1543.599976,57963
2020-09-28,1560.000000,1590.550049,1535.000000,1576.849976,1576.849976,109121
2020-09-29,1584.000000,1595.000000,1562.550049,1574.199951,1574.199951,57096
2020-09-30,1581.900024,1597.449951,1565.000000,1575.150024,1575.150024,22669
2020-10-01,1580.000000,1595.949951,1561.300049,1569.050049,1569.050049,55333
2020-10-05,1570.000000,1585.000000,1556.000000,1567.449951,1567.449951,52809
2020-10-06,1577.250000,1594.900024,1571.050049,1578.949951,1578.949951,60446
2020-10-07,1587.000000,1612.000000,1575.000000,1589.500000,1589.500000,48979
2020-10-08,1590.000000,1598.949951,1560.099976,1563.099976,1563.099976,56941
2020-10-09,1570.849976,1583.599976,1545.000000,1557.800049,1557.800049,776156
2020-10-12,1571.349976,1596.900024,1553.500000,1588.599976,1588.599976,44705
2020-10-13,1590.000000,1611.750000,1560.000000,1563.750000,1563.750000,50835
2020-10-14,1563.750000,1580.599976,1541.000000,1544.900024,1544.900024,57919
2020-10-15,1552.599976,1555.050049,1511.349976,1518.000000,1518.000000,30867
2020-10-16,1511.000000,1569.050049,1511.000000,1517.250000,1517.250000,77546
2020-10-19,1530.000000,1546.900024,1512.500000,1518.199951,1518.199951,54411
2020-10-20,1528.000000,1547.949951,1518.000000,1538.099976,1538.099976,97454
2020-10-21,1538.150024,1549.550049,1507.599976,1515.500000,1515.500000,27938
2020-10-22,1523.000000,1525.900024,1505.000000,1509.800049,1509.800049,127770
2020-10-23,1519.949951,1523.900024,1501.000000,1504.150024,1504.150024,20594
2020-10-26,1511.650024,1518.800049,1482.800049,1491.349976,1491.349976,17165
2020-10-27,1490.000000,1519.000000,1483.000000,1495.650024,1495.650024,58773
2020-10-28,1496.000000,1515.050049,1496.000000,1498.750000,1498.750000,11523
2020-10-29,1480.000000,1489.949951,1468.050049,1480.349976,1480.349976,26168
2020-10-30,1485.050049,1490.000000,1461.000000,1464.750000,1464.750000,18208
2020-11-02,1470.000000,1472.050049,1402.650024,1409.050049,1409.050049,42165
2020-11-03,1401.050049,1426.949951,1395.800049,1404.150024,1404.150024,52781
2020-11-04,1409.000000,1426.500000,1391.000000,1395.400024,1395.400024,42381
2020-11-05,1410.000000,1430.000000,1398.000000,1410.099976,1410.099976,50264
2020-11-06,1418.000000,1423.400024,1395.449951,1400.550049,1400.550049,56387
2020-11-09,1407.000000,1425.000000,1405.000000,1409.750000,1409.750000,79166
2020-11-10,1423.000000,1429.500000,1405.000000,1413.550049,1413.550049,48301
2020-11-11,1418.099976,1448.000000,1405.099976,1442.199951,1442.199951,47147
2020-11-12,1442.000000,1468.750000,1413.000000,1430.250000,1430.250000,90183
2020-11-13,1427.000000,1435.000000,1410.000000,1428.349976,1428.349976,47680
2020-11-17,1450.000000,1454.349976,1432.500000,1444.050049,1444.050049,37928
2020-11-18,1442.000000,1449.050049,1421.000000,1429.000000,1429.000000,19728
2020-11-19,1430.000000,1497.900024,1430.000000,1484.599976,1484.599976,98686